DateKey,Date,Year,Month,Day
66,2023-03-10,2023,3,10
67,2023-05-12,2023,5,12
68,2022-01-05,2022,1,5
69,2023-07-02,2023,7,2
70,2023-02-16,2023,2,16
71,2022-08-27,2022,8,27
72,2023-09-09,2023,9,9
73,2023-01-30,2023,1,30
74,2023-06-26,2023,6,26
75,2022-10-17,2022,10,17
76,2022-10-07,2022,10,7
77,2023-08-04,2023,8,4
78,2023-06-19,2023,6,19
79,2023-03-01,2023,3,1
80,2023-05-14,2023,5,14
81,2023-09-25,2023,9,25
82,2023-01-18,2023,1,18
83,2022-12-30,2022,12,30
84,2022-07-22,2022,7,22
85,2022-07-02,2022,7,2
86,2023-03-22,2023,3,22
87,2022-08-22,2022,8,22
88,2021-10-18,2021,10,18
89,2022-06-23,2022,6,23
90,2023-03-28,2023,3,28
91,2022-12-21,2022,12,21
92,2022-08-28,2022,8,28
93,2021-10-31,2021,10,31
94,2022-12-31,2022,12,31
95,2023-03-26,2023,3,26
96,2021-10-10,2021,10,10
97,2023-02-17,2023,2,17
98,2022-09-07,2022,9,7
99,2022-03-18,2022,3,18
100,2022-07-19,2022,7,19
101,2023-09-16,2023,9,16
102,2023-06-12,2023,6,12
103,2023-07-09,2023,7,9
104,2022-07-09,2022,7,9
105,2023-05-21,2023,5,21
106,2021-11-09,2021,11,9
107,2021-12-15,2021,12,15
108,2022-11-14,2022,11,14
109,2022-07-28,2022,7,28
110,2022-04-18,2022,4,18
111,2022-03-02,2022,3,2
112,2023-06-23,2023,6,23
113,2023-05-05,2023,5,5
114,2022-03-24,2022,3,24
115,2022-04-09,2022,4,9
116,2022-06-14,2022,6,14
117,2022-01-14,2022,1,14
118,2022-09-29,2022,9,29
119,2023-06-28,2023,6,28
120,2023-06-18,2023,6,18
121,2022-04-11,2022,4,11
122,2022-04-22,2022,4,22
123,2023-05-01,2023,5,1
124,2023-02-05,2023,2,5
125,2022-05-03,2022,5,3
126,2023-01-29,2023,1,29
127,2023-03-16,2023,3,16
128,2021-12-10,2021,12,10
129,2022-10-24,2022,10,24
130,2022-02-03,2022,2,3
131,2021-12-24,2021,12,24
132,2021-11-07,2021,11,7
133,2021-11-19,2021,11,19
134,2023-07-01,2023,7,1
135,2022-01-21,2022,1,21
136,2022-04-04,2022,4,4
137,2022-05-04,2022,5,4
138,2023-04-07,2023,4,7
139,2022-10-08,2022,10,8
140,2022-03-29,2022,3,29
141,2022-11-04,2022,11,4
142,2022-01-07,2022,1,7
143,2023-04-13,2023,4,13
144,2023-02-14,2023,2,14
145,2021-12-11,2021,12,11
146,2023-06-09,2023,6,9
147,2023-01-31,2023,1,31
148,2021-11-11,2021,11,11
149,2021-10-15,2021,10,15
150,2023-02-21,2023,2,21
151,2022-12-10,2022,12,10
152,2021-11-28,2021,11,28
153,2022-01-25,2022,1,25
154,2022-10-23,2022,10,23
155,2022-10-27,2022,10,27
156,2022-12-02,2022,12,2
157,2023-09-02,2023,9,2
158,2023-02-22,2023,2,22
159,2023-02-24,2023,2,24
160,2022-11-28,2022,11,28
161,2023-04-01,2023,4,1
162,2022-12-06,2022,12,6
163,2023-09-23,2023,9,23
164,2023-09-22,2023,9,22
165,2023-08-21,2023,8,21
166,2023-02-19,2023,2,19
167,2023-02-10,2023,2,10
168,2022-09-27,2022,9,27
169,2022-11-01,2022,11,1
170,2022-09-18,2022,9,18
171,2022-11-10,2022,11,10
172,2022-05-20,2022,5,20
173,2022-11-06,2022,11,6
174,2022-03-20,2022,3,20
175,2022-04-03,2022,4,3
176,2023-08-05,2023,8,5
177,2022-06-09,2022,6,9
178,2023-02-07,2023,2,7
179,2022-08-04,2022,8,4
180,2021-11-01,2021,11,1
181,2022-04-08,2022,4,8
182,2021-11-26,2021,11,26
183,2022-09-25,2022,9,25
184,2023-07-26,2023,7,26
185,2021-10-22,2021,10,22
186,2023-08-23,2023,8,23
187,2022-06-20,2022,6,20
188,2022-01-15,2022,1,15
189,2022-11-08,2022,11,8
190,2023-06-08,2023,6,8
191,2022-05-11,2022,5,11
192,2022-12-16,2022,12,16
193,2023-05-06,2023,5,6
194,2022-08-14,2022,8,14
195,2022-07-30,2022,7,30
196,2022-07-16,2022,7,16
197,2021-10-09,2021,10,9
198,2021-09-29,2021,9,29
199,2023-04-15,2023,4,15
200,2021-10-29,2021,10,29
201,2022-06-07,2022,6,7
202,2022-10-03,2022,10,3
203,2022-11-15,2022,11,15
204,2023-02-15,2023,2,15
205,2021-11-13,2021,11,13
206,2022-05-23,2022,5,23
207,2022-11-18,2022,11,18
208,2022-05-14,2022,5,14
209,2023-04-04,2023,4,4
210,2023-03-04,2023,3,4
211,2021-12-08,2021,12,8
212,2023-07-11,2023,7,11
213,2023-05-29,2023,5,29
214,2022-07-01,2022,7,1
215,2022-10-22,2022,10,22
216,2022-02-17,2022,2,17
217,2022-09-05,2022,9,5
218,2022-05-16,2022,5,16
219,2023-09-08,2023,9,8
220,2023-08-10,2023,8,10
221,2022-11-27,2022,11,27
222,2022-01-23,2022,1,23
223,2022-02-19,2022,2,19
224,2023-08-01,2023,8,1
225,2023-02-23,2023,2,23
226,2022-05-18,2022,5,18
227,2023-01-05,2023,1,5
228,2022-09-04,2022,9,4
229,2022-08-13,2022,8,13
230,2023-04-27,2023,4,27
231,2023-02-09,2023,2,9
232,2023-01-20,2023,1,20
233,2022-06-03,2022,6,3
234,2022-03-13,2022,3,13
235,2022-06-28,2022,6,28
236,2022-08-10,2022,8,10
237,2021-12-05,2021,12,5
238,2023-07-16,2023,7,16
239,2022-10-10,2022,10,10
240,2022-08-29,2022,8,29
241,2021-10-25,2021,10,25
242,2023-08-06,2023,8,6
243,2022-03-14,2022,3,14
244,2023-03-05,2023,3,5
245,2022-07-14,2022,7,14
246,2022-12-01,2022,12,1
247,2022-12-22,2022,12,22
248,2022-08-18,2022,8,18
249,2022-07-25,2022,7,25
250,2021-10-07,2021,10,7
251,2023-05-27,2023,5,27
252,2021-10-30,2021,10,30
253,2022-01-18,2022,1,18
254,2022-09-16,2022,9,16
255,2022-02-01,2022,2,1
256,2022-08-24,2022,8,24
257,2022-07-23,2022,7,23
258,2022-03-16,2022,3,16
259,2022-01-26,2022,1,26
260,2022-12-19,2022,12,19
261,2023-04-03,2023,4,3
262,2023-04-21,2023,4,21
263,2023-07-08,2023,7,8
264,2022-02-07,2022,2,7
265,2022-02-28,2022,2,28
266,2022-06-15,2022,6,15
267,2021-12-25,2021,12,25
268,2022-04-07,2022,4,7
269,2023-08-19,2023,8,19
270,2023-06-17,2023,6,17
271,2023-06-05,2023,6,5
272,2021-11-29,2021,11,29
273,2022-12-12,2022,12,12
274,2022-07-08,2022,7,8
275,2022-04-27,2022,4,27
276,2023-04-24,2023,4,24
277,2023-08-31,2023,8,31
278,2021-10-14,2021,10,14
279,2023-09-10,2023,9,10
280,2023-01-23,2023,1,23
281,2023-05-03,2023,5,3
282,2023-02-04,2023,2,4
283,2023-09-05,2023,9,5
284,2022-07-07,2022,7,7
285,2022-03-07,2022,3,7
286,2021-10-28,2021,10,28
287,2023-04-17,2023,4,17
288,2022-06-22,2022,6,22
289,2022-11-29,2022,11,29
290,2022-12-29,2022,12,29
291,2022-02-18,2022,2,18
292,2021-10-26,2021,10,26
293,2022-07-29,2022,7,29
294,2023-06-13,2023,6,13
295,2022-12-09,2022,12,9
296,2021-10-02,2021,10,2
297,2022-01-10,2022,1,10
298,2023-05-28,2023,5,28
299,2022-08-17,2022,8,17
300,2022-09-15,2022,9,15
301,2022-02-14,2022,2,14
302,2023-09-21,2023,9,21
303,2023-02-20,2023,2,20
304,2023-08-08,2023,8,8
305,2022-07-31,2022,7,31
306,2022-03-21,2022,3,21
307,2023-07-18,2023,7,18
308,2023-05-16,2023,5,16
309,2022-02-27,2022,2,27
310,2022-01-06,2022,1,6
311,2023-07-14,2023,7,14
312,2022-09-30,2022,9,30
313,2022-11-24,2022,11,24
314,2022-10-14,2022,10,14
315,2022-04-25,2022,4,25
316,2021-12-17,2021,12,17
317,2022-10-29,2022,10,29
318,2023-01-14,2023,1,14
319,2022-10-05,2022,10,5
320,2021-10-06,2021,10,6
321,2021-11-14,2021,11,14
322,2022-12-05,2022,12,5
323,2023-08-17,2023,8,17
324,2022-06-19,2022,6,19
325,2022-02-12,2022,2,12
326,2023-04-26,2023,4,26
327,2022-07-15,2022,7,15
328,2022-05-24,2022,5,24
329,2023-08-30,2023,8,30
330,2021-11-08,2021,11,8
331,2023-01-15,2023,1,15
332,2023-03-19,2023,3,19
333,2021-12-21,2021,12,21
334,2023-01-22,2023,1,22
335,2022-08-08,2022,8,8
336,2022-03-17,2022,3,17
337,2022-09-13,2022,9,13
338,2022-07-24,2022,7,24
339,2021-12-01,2021,12,1
340,2022-06-17,2022,6,17
341,2023-09-17,2023,9,17
342,2023-09-01,2023,9,1
343,2023-07-21,2023,7,21
344,2022-12-15,2022,12,15
345,2022-09-19,2022,9,19
346,2023-07-05,2023,7,5
347,2023-07-10,2023,7,10
348,2022-02-22,2022,2,22
349,2023-07-25,2023,7,25
350,2021-12-13,2021,12,13
351,2023-06-22,2023,6,22
352,2021-10-27,2021,10,27
353,2023-05-08,2023,5,8
354,2022-03-04,2022,3,4
355,2022-01-30,2022,1,30
356,2021-09-30,2021,9,30
357,2022-08-26,2022,8,26
358,2023-03-14,2023,3,14
359,2022-06-18,2022,6,18
360,2023-03-09,2023,3,9
361,2023-04-12,2023,4,12
362,2022-01-11,2022,1,11
363,2022-06-10,2022,6,10
364,2022-11-17,2022,11,17
365,2023-07-17,2023,7,17
366,2021-11-23,2021,11,23
367,2023-07-06,2023,7,6
368,2022-04-30,2022,4,30
369,2022-09-09,2022,9,9
370,2023-04-02,2023,4,2
371,2023-09-18,2023,9,18
372,2023-07-07,2023,7,7
373,2022-12-24,2022,12,24
374,2022-05-07,2022,5,7
375,2022-08-11,2022,8,11
376,2022-09-03,2022,9,3
377,2023-07-12,2023,7,12
378,2022-10-16,2022,10,16
379,2022-02-06,2022,2,6
380,2023-06-25,2023,6,25
381,2023-04-09,2023,4,9
382,2022-06-04,2022,6,4
383,2023-03-18,2023,3,18
384,2023-02-28,2023,2,28
385,2023-01-07,2023,1,7
386,2022-04-14,2022,4,14
387,2022-10-21,2022,10,21
388,2021-12-30,2021,12,30
389,2023-07-13,2023,7,13
390,2023-02-03,2023,2,3
391,2021-11-24,2021,11,24
392,2022-12-20,2022,12,20
393,2022-06-26,2022,6,26
394,2022-05-05,2022,5,5
395,2023-03-30,2023,3,30
396,2022-08-31,2022,8,31
397,2022-02-26,2022,2,26
398,2022-03-27,2022,3,27
399,2022-01-02,2022,1,2
400,2023-08-27,2023,8,27
401,2023-09-04,2023,9,4
402,2023-05-22,2023,5,22
403,2023-04-06,2023,4,6
404,2023-04-18,2023,4,18
405,2022-09-10,2022,9,10
406,2022-08-05,2022,8,5
407,2021-12-31,2021,12,31
408,2023-01-17,2023,1,17
409,2022-08-21,2022,8,21
410,2022-08-03,2022,8,3
411,2023-05-31,2023,5,31
412,2022-12-17,2022,12,17
413,2021-12-23,2021,12,23
414,2022-12-14,2022,12,14
415,2023-06-07,2023,6,7
416,2021-10-16,2021,10,16
417,2023-06-27,2023,6,27
418,2023-05-25,2023,5,25
419,2022-02-25,2022,2,25
420,2021-11-16,2021,11,16
421,2022-06-13,2022,6,13
422,2023-01-24,2023,1,24
423,2023-03-03,2023,3,3
424,2022-07-26,2022,7,26
425,2021-12-14,2021,12,14
426,2022-02-10,2022,2,10
427,2023-01-27,2023,1,27
428,2021-11-27,2021,11,27
429,2023-08-15,2023,8,15
430,2022-09-21,2022,9,21
431,2022-11-25,2022,11,25
432,2022-03-03,2022,3,3
433,2022-04-12,2022,4,12
434,2023-09-26,2023,9,26
435,2022-10-09,2022,10,9
436,2023-01-12,2023,1,12
437,2022-03-05,2022,3,5
438,2022-03-15,2022,3,15
439,2023-01-01,2023,1,1
440,2023-04-29,2023,4,29
441,2021-11-15,2021,11,15
442,2023-04-30,2023,4,30
443,2022-06-06,2022,6,6
444,2022-01-20,2022,1,20
445,2022-04-05,2022,4,5
446,2022-01-19,2022,1,19
447,2022-03-19,2022,3,19
448,2022-01-09,2022,1,9
449,2021-09-28,2021,9,28
450,2023-02-25,2023,2,25
451,2023-08-02,2023,8,2
452,2023-03-23,2023,3,23
453,2023-05-11,2023,5,11
454,2022-04-24,2022,4,24
455,2021-12-19,2021,12,19
456,2023-03-31,2023,3,31
457,2021-11-10,2021,11,10
458,2021-12-28,2021,12,28
459,2023-06-15,2023,6,15
460,2023-03-17,2023,3,17
461,2023-02-02,2023,2,2
462,2022-07-27,2022,7,27
463,2022-06-11,2022,6,11
464,2023-01-09,2023,1,9
465,2022-08-12,2022,8,12
466,2023-05-24,2023,5,24
467,2023-08-29,2023,8,29
468,2023-01-26,2023,1,26
469,2021-12-06,2021,12,6
470,2022-02-15,2022,2,15
471,2023-05-19,2023,5,19
472,2023-01-11,2023,1,11
473,2023-08-12,2023,8,12
474,2022-08-07,2022,8,7
475,2022-05-30,2022,5,30
476,2022-08-01,2022,8,1
477,2023-02-12,2023,2,12
478,2022-05-27,2022,5,27
479,2022-09-12,2022,9,12
480,2022-10-30,2022,10,30
481,2022-04-17,2022,4,17
482,2021-12-04,2021,12,4
483,2022-07-13,2022,7,13
484,2021-11-06,2021,11,6
485,2022-03-09,2022,3,9
486,2022-01-29,2022,1,29
487,2023-05-13,2023,5,13
488,2022-09-23,2022,9,23
489,2023-04-08,2023,4,8
490,2022-10-12,2022,10,12
491,2022-05-01,2022,5,1
492,2022-11-13,2022,11,13
493,2023-08-25,2023,8,25
494,2022-06-21,2022,6,21
495,2022-01-01,2022,1,1
496,2023-09-27,2023,9,27
497,2022-09-20,2022,9,20
498,2022-09-24,2022,9,24
499,2022-07-06,2022,7,6
500,2023-06-29,2023,6,29
501,2022-05-25,2022,5,25
502,2023-06-03,2023,6,3
503,2021-12-18,2021,12,18
504,2022-05-31,2022,5,31
505,2022-08-09,2022,8,9
506,2022-05-09,2022,5,9
507,2023-04-23,2023,4,23
508,2022-04-01,2022,4,1
509,2023-04-14,2023,4,14
510,2023-01-16,2023,1,16
511,2023-05-09,2023,5,9
512,2023-09-24,2023,9,24
513,2022-11-03,2022,11,3
514,2021-12-16,2021,12,16
515,2023-05-04,2023,5,4
516,2023-03-02,2023,3,2
517,2023-07-28,2023,7,28
518,2022-06-08,2022,6,8
519,2022-09-06,2022,9,6
520,2023-04-16,2023,4,16
521,2023-01-03,2023,1,3
522,2021-10-24,2021,10,24
523,2021-11-04,2021,11,4
524,2021-12-07,2021,12,7
525,2022-09-26,2022,9,26
526,2022-07-11,2022,7,11
527,2022-01-04,2022,1,4
528,2022-10-28,2022,10,28
529,2023-09-28,2023,9,28
530,2021-11-30,2021,11,30
531,2023-02-06,2023,2,6
532,2021-11-21,2021,11,21
533,2022-05-02,2022,5,2
534,2023-02-18,2023,2,18
535,2021-10-03,2021,10,3
536,2022-04-13,2022,4,13
537,2023-02-08,2023,2,8
538,2023-05-18,2023,5,18
539,2022-12-18,2022,12,18
540,2022-04-28,2022,4,28
541,2023-07-20,2023,7,20
542,2023-06-30,2023,6,30
543,2022-07-04,2022,7,4
544,2021-12-12,2021,12,12
545,2022-08-06,2022,8,6
546,2023-09-11,2023,9,11
547,2022-05-15,2022,5,15
548,2023-01-04,2023,1,4
549,2022-04-06,2022,4,6
550,2023-08-26,2023,8,26
551,2022-01-17,2022,1,17
552,2023-04-20,2023,4,20
553,2021-11-25,2021,11,25
554,2023-01-08,2023,1,8
555,2023-08-03,2023,8,3
556,2022-11-20,2022,11,20
557,2022-01-03,2022,1,3
558,2023-08-16,2023,8,16
559,2022-05-21,2022,5,21
560,2021-10-13,2021,10,13
561,2022-04-23,2022,4,23
562,2023-02-26,2023,2,26
563,2022-04-21,2022,4,21
564,2023-02-27,2023,2,27
565,2022-05-29,2022,5,29
566,2021-10-20,2021,10,20
567,2023-08-07,2023,8,7
568,2022-08-23,2022,8,23
569,2022-08-20,2022,8,20
570,2022-02-11,2022,2,11
571,2022-07-12,2022,7,12
572,2022-03-26,2022,3,26
573,2022-10-26,2022,10,26
574,2023-08-28,2023,8,28
575,2022-06-02,2022,6,2
576,2023-04-19,2023,4,19
577,2023-07-27,2023,7,27
578,2022-10-11,2022,10,11
579,2021-12-27,2021,12,27
580,2022-05-17,2022,5,17
581,2022-06-16,2022,6,16
582,2022-02-02,2022,2,2
583,2022-02-04,2022,2,4
584,2023-05-20,2023,5,20
585,2022-05-19,2022,5,19
586,2023-06-14,2023,6,14
587,2022-04-15,2022,4,15
588,2022-11-26,2022,11,26
589,2023-02-01,2023,2,1
590,2022-03-06,2022,3,6
591,2022-11-23,2022,11,23
592,2022-06-27,2022,6,27
593,2022-06-29,2022,6,29
594,2023-08-22,2023,8,22
595,2023-05-02,2023,5,2
596,2021-10-04,2021,10,4
597,2022-06-01,2022,6,1
598,2022-02-23,2022,2,23
599,2022-10-02,2022,10,2
600,2022-01-24,2022,1,24
601,2023-05-26,2023,5,26
602,2023-09-06,2023,9,6
603,2021-12-02,2021,12,2
604,2022-08-16,2022,8,16
605,2022-09-08,2022,9,8
606,2022-11-19,2022,11,19
607,2022-09-02,2022,9,2
608,2022-09-14,2022,9,14
609,2023-04-28,2023,4,28
610,2022-12-03,2022,12,3
611,2022-03-30,2022,3,30
612,2021-12-20,2021,12,20
613,2023-03-25,2023,3,25
614,2023-03-13,2023,3,13
615,2022-10-15,2022,10,15
616,2022-06-12,2022,6,12
617,2022-05-10,2022,5,10
618,2023-03-08,2023,3,8
619,2022-09-01,2022,9,1
620,2022-01-16,2022,1,16
621,2022-03-23,2022,3,23
622,2023-05-23,2023,5,23
623,2022-09-11,2022,9,11
624,2023-03-12,2023,3,12
625,2023-08-14,2023,8,14
626,2022-10-25,2022,10,25
627,2023-01-21,2023,1,21
628,2022-04-29,2022,4,29
629,2022-02-13,2022,2,13
630,2022-07-10,2022,7,10
631,2022-12-23,2022,12,23
632,2023-08-18,2023,8,18
633,2023-05-15,2023,5,15
634,2022-03-10,2022,3,10
635,2023-03-07,2023,3,7
636,2022-11-11,2022,11,11
637,2021-10-21,2021,10,21
638,2022-09-28,2022,9,28
639,2023-05-07,2023,5,7
640,2022-06-24,2022,6,24
641,2022-08-15,2022,8,15
642,2022-04-02,2022,4,2
643,2023-07-24,2023,7,24
644,2022-05-26,2022,5,26
645,2023-09-07,2023,9,7
646,2023-03-24,2023,3,24
647,2021-10-19,2021,10,19
648,2022-05-22,2022,5,22
649,2023-08-13,2023,8,13
650,2022-11-07,2022,11,7
651,2022-10-20,2022,10,20
652,2023-04-11,2023,4,11
653,2023-07-22,2023,7,22
654,2022-08-02,2022,8,2
655,2021-12-03,2021,12,3
656,2022-04-26,2022,4,26
657,2022-12-11,2022,12,11
658,2023-03-20,2023,3,20
659,2021-12-09,2021,12,9
660,2023-01-10,2023,1,10
661,2022-05-28,2022,5,28
662,2021-12-26,2021,12,26
663,2023-05-30,2023,5,30
664,2021-10-23,2021,10,23
665,2022-03-31,2022,3,31
666,2021-11-03,2021,11,3
667,2023-09-15,2023,9,15
668,2022-02-24,2022,2,24
669,2023-03-27,2023,3,27
670,2023-06-24,2023,6,24
671,2022-09-17,2022,9,17
672,2022-04-16,2022,4,16
673,2022-01-31,2022,1,31
674,2022-03-22,2022,3,22
675,2023-06-02,2023,6,2
676,2023-03-11,2023,3,11
677,2023-06-16,2023,6,16
678,2022-10-01,2022,10,1
679,2022-11-16,2022,11,16
680,2022-02-08,2022,2,8
681,2023-06-21,2023,6,21
682,2023-04-10,2023,4,10
683,2022-03-01,2022,3,1
684,2023-07-30,2023,7,30
685,2023-01-06,2023,1,6
686,2023-09-03,2023,9,3
687,2021-11-22,2021,11,22
688,2022-06-25,2022,6,25
689,2021-10-11,2021,10,11
690,2023-08-24,2023,8,24
691,2022-12-25,2022,12,25
692,2023-02-13,2023,2,13
693,2022-08-25,2022,8,25
694,2022-01-08,2022,1,8
695,2021-11-02,2021,11,2
696,2022-06-05,2022,6,5
697,2022-08-19,2022,8,19
698,2021-11-05,2021,11,5
699,2021-12-29,2021,12,29
700,2022-05-12,2022,5,12
701,2021-10-17,2021,10,17
702,2023-06-06,2023,6,6
703,2022-10-18,2022,10,18
704,2021-10-05,2021,10,5
705,2022-07-18,2022,7,18
706,2022-02-21,2022,2,21
707,2023-05-10,2023,5,10
708,2022-05-08,2022,5,8
709,2022-11-21,2022,11,21
710,2022-09-22,2022,9,22
711,2023-07-31,2023,7,31
712,2022-02-05,2022,2,5
713,2021-10-12,2021,10,12
714,2021-10-08,2021,10,8
715,2023-07-23,2023,7,23
716,2023-01-02,2023,1,2
717,2022-03-12,2022,3,12
718,2022-12-27,2022,12,27
719,2022-12-26,2022,12,26
720,2022-04-20,2022,4,20
721,2022-02-20,2022,2,20
722,2022-10-13,2022,10,13
723,2023-07-04,2023,7,4
724,2022-11-12,2022,11,12
725,2022-07-03,2022,7,3
726,2022-11-30,2022,11,30
727,2023-08-11,2023,8,11
728,2021-10-01,2021,10,1
729,2022-12-28,2022,12,28
730,1900-01-01,1900,1,1
