DateKey,ProductKey,SupplierKey,StockReceived,StockSold,StockOnHand
280,9,11,337,92,245
167,3,1,195,154,41
97,14,18,273,8,265
166,23,10,131,2,129
730,1,15,189,187,2
730,15,17,403,395,8
281,22,19,177,26,151
211,43,14,58,39,19
730,11,12,495,230,265
730,7,11,233,46,187
282,28,24,471,75,396
283,3,19,182,149,33
63,24,1,367,8,359
284,36,10,480,395,85
285,14,17,321,131,190
65,21,1,428,288,140
286,13,8,405,377,28
287,1,18,63,25,38
288,5,19,211,50,161
289,4,19,262,195,67
290,24,8,407,64,343
291,31,17,428,44,384
292,13,14,482,267,215
293,24,4,469,110,359
294,30,15,349,128,221
19,13,6,434,340,94
295,15,24,70,55,15
296,15,3,423,351,72
730,30,1,345,235,110
297,15,18,324,216,108
220,28,11,427,256,171
298,21,1,330,321,9
299,36,17,130,55,75
220,11,12,421,333,88
84,21,4,177,70,107
300,4,23,252,223,29
301,5,11,109,38,71
272,11,7,98,67,31
274,9,12,363,141,222
302,23,3,81,62,19
250,5,9,420,372,48
303,11,18,355,156,199
304,21,6,465,69,396
166,22,3,159,100,59
106,21,11,333,233,100
305,21,14,396,7,389
306,23,5,57,23,34
307,7,7,323,178,145
192,24,5,297,293,4
308,43,19,92,79,13
730,22,10,313,216,97
309,23,5,401,3,398
730,23,17,448,299,149
730,24,21,395,154,241
310,5,23,496,187,309
311,23,9,340,200,140
312,21,5,183,165,18
313,3,18,325,99,226
280,15,1,62,10,52
730,1,21,184,158,26
314,16,24,262,173,89
730,23,1,93,67,26
315,28,23,104,21,83
312,28,5,404,4,400
316,23,10,77,62,15
317,4,8,199,175,24
48,23,17,198,43,155
318,4,15,351,93,258
319,43,12,333,307,26
320,17,5,87,64,23
321,15,5,118,104,14
322,5,5,361,187,174
134,14,21,152,68,84
22,14,8,160,115,45
265,31,9,436,237,199
9,14,21,464,25,439
140,17,11,126,119,7
323,4,11,496,80,416
21,22,9,324,307,17
144,24,4,454,30,424
324,15,25,122,12,110
4,24,18,325,142,183
233,1,5,430,43,387
325,5,4,341,239,102
326,22,14,190,20,170
327,3,23,312,10,302
149,21,12,77,69,8
299,36,8,107,81,26
328,7,11,84,2,82
72,23,23,148,81,67
127,3,3,51,42,9
329,13,7,366,211,155
330,28,12,53,26,27
258,31,19,183,182,1
30,21,3,468,418,50
17,28,14,230,147,83
251,1,9,74,8,66
281,22,10,164,55,109
331,5,5,364,362,2
332,7,3,443,84,359
101,16,3,283,157,126
144,28,18,141,52,89
730,22,8,388,370,18
333,7,7,364,249,115
213,43,5,70,39,31
334,1,14,447,108,339
122,43,6,133,98,35
332,30,9,317,99,218
335,30,18,338,307,31
89,24,9,379,98,281
32,31,23,402,11,391
730,30,17,312,7,305
127,31,24,227,94,133
286,3,14,173,102,71
336,17,19,366,290,76
325,43,5,348,18,330
337,28,10,290,96,194
314,13,6,239,129,110
141,21,4,148,71,77
338,15,17,337,82,255
285,43,19,232,79,153
339,43,9,252,200,52
65,15,12,211,177,34
340,28,15,324,280,44
341,11,7,103,28,75
261,7,25,360,345,15
730,13,4,157,58,99
342,14,19,478,439,39
292,7,10,147,143,4
343,22,25,380,355,25
730,24,3,86,83,3
730,22,1,207,162,45
23,22,18,439,430,9
344,17,3,206,85,121
345,43,18,131,126,5
62,5,5,161,130,31
346,9,17,258,245,13
347,13,11,71,7,64
200,9,12,127,42,85
287,21,19,191,46,145
348,16,1,81,14,67
349,13,15,482,473,9
350,22,6,92,6,86
351,1,1,409,211,198
339,13,12,397,162,235
85,30,14,270,9,261
352,13,24,258,167,91
16,17,11,225,38,187
353,30,6,458,151,307
354,24,23,108,14,94
355,24,24,472,325,147
356,7,4,303,76,227
243,9,19,262,220,42
357,31,3,287,105,182
314,16,25,183,79,104
171,30,25,104,7,97
11,24,18,499,54,445
358,11,23,307,94,213
359,22,4,188,17,171
360,43,25,303,7,296
285,28,10,237,237,0
68,17,3,437,245,192
261,15,10,74,36,38
361,16,12,200,166,34
283,11,17,443,203,240
286,21,7,214,9,205
362,14,3,150,128,22
189,11,10,195,143,52
281,14,19,351,252,99
107,5,25,490,14,476
242,7,14,337,231,106
363,9,4,148,114,34
124,13,12,233,87,146
208,5,7,482,27,455
364,43,15,67,56,11
730,11,4,333,86,247
37,31,8,378,249,129
195,36,8,352,97,255
365,4,21,489,90,399
324,4,7,196,15,181
94,30,9,466,213,253
366,24,12,320,34,286
195,43,8,128,74,54
367,21,10,352,159,193
368,21,3,432,173,259
369,28,1,326,211,115
370,36,24,313,39,274
730,9,7,384,188,196
83,14,10,487,341,146
371,24,7,81,53,28
68,31,12,168,6,162
372,7,17,372,173,199
104,24,1,206,172,34
373,11,23,205,35,170
210,43,5,175,127,48
93,23,24,336,75,261
327,17,15,262,240,22
374,21,25,452,236,216
160,3,14,419,151,268
320,1,21,269,8,261
187,16,25,428,238,190
375,1,10,67,39,28
8,4,8,118,110,8
376,9,4,60,16,44
259,21,11,79,71,8
346,43,17,60,15,45
377,43,11,209,190,19
131,30,8,120,67,53
110,21,19,448,21,427
378,31,25,130,129,1
160,15,23,185,21,164
147,7,4,106,65,41
153,4,15,146,80,66
379,21,21,337,190,147
219,13,11,159,145,14
730,21,14,125,49,76
380,14,25,141,77,64
730,22,21,57,50,7
730,14,10,159,159,0
256,28,21,498,270,228
234,22,9,204,204,0
381,1,7,332,48,284
382,3,24,203,126,77
104,24,7,412,230,182
382,30,18,274,201,73
383,36,6,122,38,84
119,28,9,238,80,158
384,9,17,188,150,38
385,3,3,210,187,23
386,21,15,414,409,5
255,22,6,247,122,125
318,3,7,56,52,4
387,28,4,219,154,65
170,24,6,305,232,73
388,17,9,221,221,0
389,23,19,230,217,13
390,7,9,352,113,239
391,15,23,270,150,120
392,14,24,73,63,10
306,30,6,222,50,172
393,11,24,331,17,314
394,5,8,465,294,171
157,15,11,442,152,290
395,15,11,348,248,100
730,36,24,213,55,158
22,17,8,384,357,27
6,28,23,252,245,7
152,23,11,306,305,1
227,23,24,354,332,22
730,1,4,295,167,128
80,14,1,294,209,85
396,43,8,370,349,21
397,31,14,281,190,91
258,15,7,185,67,118
199,5,7,378,354,24
320,21,21,251,131,120
151,4,24,134,19,115
163,3,8,334,142,192
398,22,11,477,420,57
399,21,15,176,33,143
211,3,24,364,17,347
125,17,24,270,130,140
54,4,23,441,369,72
400,13,1,197,87,110
59,16,7,118,90,28
284,22,15,332,249,83
377,1,7,376,270,106
362,1,1,294,37,257
287,21,18,377,18,359
401,17,18,233,167,66
177,11,9,489,87,402
402,3,15,346,131,215
288,4,4,114,7,107
204,3,11,497,281,216
15,1,21,403,259,144
403,7,8,210,85,125
404,9,1,332,66,266
367,5,9,60,60,0
269,7,17,432,372,60
405,13,11,252,146,106
406,13,6,158,65,93
407,21,6,479,214,265
408,3,8,296,260,36
343,11,24,324,86,238
255,21,21,463,167,296
132,15,24,454,334,120
409,9,12,63,50,13
410,21,19,491,351,140
411,28,7,79,55,24
412,7,17,78,5,73
413,15,24,105,22,83
51,21,21,265,77,188
95,28,23,211,84,127
73,9,7,268,115,153
414,36,1,406,375,31
730,14,11,227,99,128
415,7,25,459,400,59
240,36,8,401,162,239
307,31,7,351,323,28
366,9,3,91,23,68
416,9,19,491,383,108
417,11,17,346,60,286
234,9,15,376,123,253
418,11,12,164,33,131
162,28,19,492,281,211
276,1,23,301,128,173
85,15,3,142,84,58
217,5,3,229,222,7
397,23,17,138,35,103
730,14,15,336,32,304
71,17,5,362,140,222
301,21,17,275,45,230
269,21,19,115,86,29
213,7,7,137,52,85
419,30,17,372,134,238
420,21,15,99,15,84
421,7,19,403,14,389
228,28,1,207,203,4
327,1,3,338,89,249
193,21,23,372,329,43
422,30,14,55,13,42
423,17,3,328,3,325
424,3,8,408,48,360
425,31,12,446,274,172
360,5,11,51,42,9
211,21,3,315,122,193
426,21,10,495,308,187
730,36,3,131,49,82
393,22,25,250,165,85
151,4,10,227,183,44
427,21,11,194,14,180
730,13,6,137,100,37
730,21,14,185,175,10
265,7,18,215,124,91
211,22,11,103,64,39
730,30,15,378,71,307
730,9,1,384,30,354
132,21,23,335,317,18
730,21,21,409,408,1
730,4,6,382,108,274
134,21,15,426,34,392
299,28,8,403,245,158
77,4,1,59,2,57
428,28,1,435,62,373
191,22,19,441,113,328
136,30,8,309,169,140
122,16,18,273,198,75
730,9,17,396,294,102
429,31,6,138,137,1
730,7,6,390,20,370
408,22,11,82,17,65
129,30,23,442,20,422
430,21,5,171,10,161
121,28,14,491,469,22
431,17,25,65,29,36
432,5,11,233,62,171
244,31,21,300,271,29
432,31,25,165,73,92
433,24,14,424,89,335
434,30,17,426,171,255
435,15,10,72,67,5
436,5,8,282,39,243
269,36,17,151,62,89
437,3,25,418,376,42
438,13,1,211,154,57
439,22,18,187,7,180
128,17,21,499,49,450
129,21,5,430,384,46
440,24,14,72,14,58
221,31,5,185,31,154
441,16,24,340,303,37
67,5,24,494,248,246
442,21,17,214,40,174
730,3,19,133,86,47
94,11,1,234,133,101
411,43,9,411,133,278
266,14,10,313,295,18
288,5,15,245,113,132
443,22,21,380,349,31
730,4,24,220,27,193
444,22,4,154,148,6
350,1,5,77,71,6
312,24,5,55,52,3
50,1,25,201,128,73
214,1,7,129,118,11
445,28,5,369,215,154
446,24,25,383,209,174
447,17,25,154,152,2
289,43,23,90,85,5
448,5,9,57,1,56
182,5,18,335,310,25
281,36,8,78,5,73
449,3,4,171,118,53
450,17,9,308,150,158
7,5,10,127,78,49
11,24,3,260,216,44
313,24,6,314,176,138
117,30,6,369,183,186
730,17,4,429,302,127
451,43,12,60,29,31
289,5,24,315,244,71
91,14,1,453,51,402
239,11,24,124,66,58
452,43,21,108,71,37
730,5,1,313,91,222
99,21,11,115,57,58
453,13,21,314,227,87
454,5,19,397,40,357
373,43,25,247,141,106
217,43,3,290,22,268
36,16,24,362,160,202
137,4,21,221,108,113
95,22,23,53,34,19
455,28,17,345,133,212
456,43,12,132,20,112
40,36,21,393,364,29
457,21,17,372,86,286
730,16,21,456,114,342
458,17,8,145,117,28
459,21,24,473,292,181
93,7,8,401,312,89
146,36,19,364,329,35
391,4,23,245,25,220
350,43,12,141,42,99
460,36,15,338,332,6
730,7,23,226,35,191
344,31,11,268,64,204
200,28,9,280,121,159
453,15,15,403,142,261
403,13,23,500,155,345
13,7,18,311,262,49
349,13,18,240,118,122
415,11,23,196,61,135
461,17,11,437,424,13
462,43,5,246,87,159
30,43,14,218,25,193
260,23,6,428,89,339
71,15,11,445,393,52
463,16,11,78,60,18
313,21,21,206,58,148
430,31,8,340,298,42
730,21,3,99,84,15
464,3,3,277,231,46
220,31,24,464,274,190
407,22,9,473,34,439
3,36,15,280,246,34
349,28,1,266,141,125
44,21,6,131,52,79
299,17,6,382,23,359
465,30,5,373,112,261
256,43,8,278,179,99
269,5,11,106,53,53
466,15,3,383,206,177
321,23,21,198,82,116
302,4,9,268,8,260
730,16,18,50,16,34
466,36,25,74,60,14
730,17,4,380,85,295
11,4,15,216,62,154
126,9,7,407,167,240
35,28,8,458,269,189
115,16,4,89,85,4
220,43,3,158,19,139
277,21,11,472,126,346
16,1,14,284,128,156
279,22,19,386,50,336
467,36,23,257,162,95
445,31,15,433,9,424
468,14,19,62,61,1
730,43,5,474,228,246
730,7,5,455,287,168
730,28,9,64,23,41
179,7,18,443,136,307
31,30,1,290,55,235
250,1,7,221,135,86
394,22,14,364,164,200
730,15,14,427,422,5
123,15,19,198,187,11
469,3,25,456,355,101
468,14,21,483,281,202
416,16,23,98,1,97
93,21,21,413,100,313
182,36,10,147,28,119
371,31,12,280,148,132
4,13,14,203,191,12
361,22,17,194,135,59
368,24,8,385,200,185
69,30,12,486,172,314
353,43,23,447,64,383
470,14,6,262,192,70
390,17,1,393,222,171
440,14,12,211,48,163
471,1,17,279,249,30
361,30,6,122,37,85
150,9,7,249,39,210
46,30,3,346,37,309
274,36,6,384,334,50
472,28,9,90,70,20
267,4,17,463,258,205
204,1,23,464,188,276
105,31,19,112,10,102
269,22,24,66,57,9
473,4,14,459,290,169
297,16,14,389,232,157
216,36,14,149,140,9
730,21,15,142,15,127
471,21,19,308,139,169
730,43,3,345,305,40
32,30,18,374,23,351
226,31,14,304,173,131
474,14,1,402,135,267
475,5,24,131,36,95
53,43,11,53,45,8
339,31,9,468,206,262
476,28,17,65,3,62
370,4,5,203,103,100
154,1,4,291,85,206
477,21,3,78,26,52
257,31,3,77,23,54
409,3,8,453,257,196
730,22,14,72,51,21
242,23,15,370,241,129
361,36,10,325,7,318
37,31,5,265,47,218
169,21,21,442,237,205
478,36,11,382,311,71
14,31,3,452,391,61
76,36,21,396,230,166
730,11,4,80,61,19
122,22,1,358,195,163
218,13,7,408,328,80
320,13,12,190,9,181
479,36,17,255,107,148
320,36,15,308,189,119
480,14,5,470,34,436
257,36,10,377,129,248
481,22,19,347,99,248
482,30,14,117,101,16
124,14,8,202,193,9
51,28,12,164,159,5
730,15,25,98,72,26
377,22,17,136,129,7
730,9,7,476,162,314
240,9,23,226,13,213
74,13,7,266,91,175
483,36,8,489,53,436
484,28,14,84,14,70
485,1,24,138,127,11
730,3,14,361,303,58
178,7,14,198,125,73
452,14,9,367,23,344
486,21,5,175,97,78
138,36,4,145,126,19
487,13,19,459,247,212
488,30,1,464,48,416
291,9,3,255,148,107
489,17,9,395,264,131
730,36,10,447,52,395
490,16,1,127,55,72
225,5,6,275,209,66
365,43,6,134,127,7
65,21,1,399,327,72
247,22,21,195,4,191
491,28,1,81,76,5
35,15,14,320,269,51
492,3,17,494,124,370
449,24,15,221,74,147
493,11,15,279,1,278
103,1,17,141,48,93
494,5,21,156,54,102
200,14,6,114,77,37
495,22,21,331,178,153
411,11,10,138,30,108
375,3,17,403,247,156
154,14,12,81,62,19
496,15,18,138,33,105
497,17,3,400,9,391
456,17,23,112,65,47
399,21,3,341,199,142
498,31,1,269,31,238
41,9,6,387,63,324
53,21,5,130,128,2
181,36,3,397,51,346
100,9,1,366,300,66
285,23,15,327,103,224
424,36,9,253,86,167
184,43,10,106,36,70
171,3,19,408,246,162
499,15,15,133,95,38
490,15,21,286,252,34
125,23,24,491,327,164
500,36,15,446,255,191
501,43,25,459,399,60
60,23,10,376,265,111
133,11,8,158,87,71
502,15,3,285,253,32
503,43,24,328,95,233
504,3,10,133,74,59
424,24,10,491,448,43
730,5,18,375,295,80
318,23,10,367,356,11
730,22,15,53,15,38
730,3,6,55,19,36
483,17,19,52,2,50
261,21,9,329,50,279
505,31,21,482,19,463
506,23,23,321,157,164
507,14,1,137,21,116
730,1,1,67,27,40
508,7,7,431,222,209
509,3,10,399,45,354
422,7,15,474,222,252
119,21,5,333,208,125
510,14,1,424,162,262
511,30,11,122,60,62
512,22,3,230,175,55
513,36,3,146,47,99
514,3,14,121,110,11
515,28,25,317,94,223
172,9,4,157,128,29
43,31,1,91,71,20
48,11,10,471,74,397
309,15,1,241,110,131
305,21,18,257,218,39
516,16,11,352,337,15
187,4,12,134,30,104
517,11,21,60,42,18
465,24,9,269,32,237
104,30,21,304,181,123
239,43,25,91,40,51
89,3,15,167,26,141
518,7,17,89,27,62
66,11,7,50,30,20
422,43,3,150,62,88
730,3,9,170,107,63
730,13,17,336,146,190
102,3,21,453,369,84
71,21,23,399,47,352
330,21,23,407,77,330
519,21,1,323,267,56
520,15,8,109,4,105
131,43,10,253,103,150
730,21,7,481,128,353
517,4,11,380,377,3
144,15,5,207,143,64
105,5,11,68,19,49
232,23,6,337,192,145
730,11,18,402,65,337
521,22,21,270,100,170
346,22,23,425,341,84
252,31,10,492,167,325
169,28,25,72,54,18
522,9,1,106,62,44
523,4,24,65,51,14
730,31,6,188,92,96
524,4,9,401,278,123
730,43,14,473,429,44
88,22,3,370,176,194
525,43,14,348,64,284
730,22,17,215,133,82
418,15,4,295,150,145
17,15,3,86,76,10
128,24,3,462,431,31
423,43,11,188,160,28
386,24,1,223,48,175
526,36,25,75,33,42
381,7,25,243,41,202
35,31,17,232,64,168
489,3,24,298,283,15
73,3,6,194,183,11
54,22,7,339,164,175
47,28,12,441,12,429
177,31,21,112,45,67
331,28,12,422,211,211
730,24,14,140,19,121
197,16,14,239,63,176
134,14,5,287,272,15
304,13,6,145,89,56
527,23,25,137,18,119
47,16,8,495,335,160
730,15,15,132,105,27
528,31,11,225,214,11
529,13,21,500,116,384
101,7,17,472,11,461
81,11,1,230,21,209
530,22,23,258,107,151
114,5,18,307,306,1
141,36,24,210,198,12
252,23,15,486,221,265
21,23,5,101,86,15
531,31,5,390,374,16
532,36,15,75,24,51
220,13,6,232,189,43
63,17,4,404,80,324
533,28,11,184,72,112
326,1,1,373,199,174
101,4,9,391,100,291
312,16,17,145,63,82
234,30,11,430,324,106
534,13,5,297,155,142
280,11,23,422,73,349
730,7,9,116,64,52
418,11,4,342,227,115
504,15,21,387,386,1
730,3,18,426,289,137
507,4,1,216,135,81
730,43,14,141,15,126
248,9,4,287,30,257
337,5,6,91,80,11
15,28,3,212,45,167
351,4,8,382,58,324
535,31,14,127,107,20
378,21,3,227,120,107
75,30,6,97,28,69
536,3,3,96,39,57
535,16,11,221,217,4
364,3,14,460,171,289
505,43,9,405,314,91
537,31,4,322,106,216
538,31,18,324,173,151
400,21,10,307,90,217
160,15,25,407,330,77
539,21,19,236,76,160
399,1,10,369,54,315
133,13,24,290,241,49
540,7,15,74,40,34
133,31,10,147,133,14
342,17,8,139,45,94
541,31,15,146,40,106
123,31,18,243,124,119
388,9,9,464,115,349
296,15,5,61,44,17
542,36,15,157,149,8
543,31,7,203,44,159
418,9,1,443,104,339
261,31,19,174,74,100
544,21,5,322,24,298
545,13,17,203,37,166
121,17,19,234,5,229
30,13,17,51,17,34
730,1,17,351,194,157
250,4,7,187,36,151
226,31,1,208,21,187
29,17,3,147,77,70
546,21,11,134,128,6
534,13,8,258,76,182
423,1,7,100,84,16
273,30,1,414,337,77
380,22,9,470,98,372
197,28,5,281,186,95
287,28,24,165,118,47
547,14,5,205,23,182
548,17,15,74,60,14
305,4,21,120,13,107
549,13,14,70,38,32
99,3,3,391,314,77
262,5,23,431,69,362
730,13,7,284,233,51
131,9,11,500,358,142
310,3,21,411,209,202
168,31,5,263,206,57
220,14,1,64,33,31
148,43,24,164,78,86
550,11,24,492,391,101
142,43,11,319,234,85
226,13,18,337,9,328
78,30,12,191,135,56
