DateKey,ProductKey,CustomerKey,SupplierKey,ShipperKey,QuantitySold,TotalAmount,DiscountAmount,NetAmount
47,28,2,7,4,83,3837.09,6.69,3830.4
48,21,1,19,4,58,57717.54,85.83,57631.71
49,13,3,21,2,11,9321.73,213.23,9108.5
730,7,2,6,15,17,1156.17,3.52,1152.65
730,30,3,7,4,52,22454.64,53.79,22400.85
50,31,2,23,17,90,20593.8,16.26,20577.54
730,13,1,11,17,74,62709.82,200.44,62509.38
51,13,3,21,16,40,33897.2,186.81,33710.39
52,3,3,24,2,37,14303.09,80.37,14222.72
53,30,3,25,8,13,5613.66,128.94,5484.72
54,9,2,10,8,43,18623.3,5.83,18617.47
55,7,1,18,8,85,5780.85,16.4,5764.450000000001
730,21,3,11,15,57,36600.27,14.5,36585.77
56,14,2,6,8,18,8299.619999999999,58.0,8241.619999999999
57,24,3,4,15,90,57789.9,23.02,57766.880000000005
58,11,2,18,4,13,12093.9,262.29,11831.61
730,28,1,18,16,98,4530.54,9.42,4521.12
59,22,2,4,2,82,71573.7,217.43,71356.27
60,43,1,21,8,5,1343.0500000000002,30.65,1312.4
61,36,3,21,4,53,50431.09,112.76,50318.33
62,1,2,7,4,21,13699.35,44.13,13655.22
63,7,1,11,15,70,4760.700000000001,7.75,4752.950000000001
64,28,3,18,2,37,1710.51,9.65,1700.86
65,16,3,3,17,92,59902.12,103.64,59798.48
66,31,1,3,2,46,10525.72,57.35,10468.37
67,13,1,7,4,59,49998.37,17.49,49980.88
68,21,2,23,16,68,44359.8,125.45,44234.350000000006
69,21,1,9,8,55,54732.15,34.46,54697.69
70,5,2,6,17,88,58084.4,6.07,58078.33
71,31,2,23,16,83,18992.06,42.58,18949.48
39,21,2,6,17,14,8989.54,15.97,8973.570000000002
72,28,2,8,15,84,3883.32,9.11,3874.21
73,9,1,18,4,17,7362.700000000001,92.69,7270.010000000001
74,11,1,23,8,77,71633.09999999999,250.2,71382.9
75,3,2,8,2,88,34018.16,67.27,33950.89
76,5,3,14,4,39,25741.95,187.03,25554.92
4,21,1,10,17,90,62405.1,45.74,62359.36
77,16,3,4,8,61,39717.71,62.71,39655.0
78,1,1,11,16,76,49578.6,157.95,49420.65
730,28,1,10,15,45,2080.35,12.51,2067.84
79,28,3,6,16,81,3744.63,1.13,3743.5
80,7,2,25,8,62,4216.62,9.58,4207.04
730,15,1,24,16,50,34669.5,139.61,34529.89
81,17,3,1,8,74,62174.060000000005,60.16,62113.9
67,23,3,5,4,53,52741.89,268.27,52473.62
730,14,3,19,4,41,18904.69,88.94,18815.75
82,36,3,24,17,48,45673.44,234.59,45438.850000000006
83,36,3,6,16,16,15224.48,220.89,15003.59
84,11,3,18,4,67,62330.1,41.67,62288.43
85,15,3,14,4,93,64485.27,198.55,64286.72
86,16,2,3,15,1,651.11,109.18,541.9300000000001
87,7,1,8,16,79,5372.79,17.68,5355.11
88,30,3,4,8,91,39295.62,93.94,39201.68
56,22,3,11,8,90,78556.5,125.79,78430.71
89,23,2,14,16,68,67668.84,296.11,67372.73
90,22,3,23,4,23,20075.55,85.24,19990.31
91,36,1,14,4,48,45673.44,68.75,45604.69
92,21,1,17,17,33,32839.29,251.34,32587.95
730,7,2,25,17,83,5644.830000000001,14.43,5630.400000000001
93,30,1,24,16,98,42318.36,102.45,42215.91
94,24,1,8,8,18,11557.98,155.14,11402.84
730,14,1,23,17,3,1383.27,22.37,1360.9
95,1,2,7,2,99,64582.65,89.62,64493.03
96,16,2,6,17,8,5208.88,38.98,5169.900000000001
97,30,1,10,16,83,35841.06,40.16,35800.899999999994
98,23,2,17,2,77,76625.01,65.38,76559.62999999999
99,28,2,5,15,92,4253.16,4.91,4248.25
730,21,2,17,16,56,36962.8,142.31,36820.49
100,4,2,7,15,84,30576.84,96.6,30480.24
101,3,2,8,4,59,22807.63,102.27,22705.36
102,4,3,11,4,23,8372.23,22.75,8349.48
103,13,2,18,17,95,80505.84999999999,114.26,80391.59
104,11,3,23,15,46,42793.8,154.36,42639.44
105,21,1,24,2,37,32295.45,122.54,32172.91
730,21,1,8,4,47,2172.81,13.79,2159.02
730,7,1,24,2,73,4964.7300000000005,4.38,4960.35
730,9,1,14,16,97,42010.7,52.73,41957.97
106,22,2,7,2,7,6109.95,2.62,6107.33
107,36,2,10,2,35,33303.55,48.79,33254.759999999995
9,21,2,1,16,86,3975.78,5.13,3970.65
108,9,1,4,4,97,42010.7,27.38,41983.32000000001
109,36,3,23,2,50,47576.5,262.55,47313.95
110,28,3,14,2,24,1109.52,9.13,1100.39
111,14,2,24,15,77,35503.93,28.64,35475.29
112,23,2,23,2,56,55727.28,51.81,55675.47
113,43,1,10,16,30,8058.3,47.64,8010.66
114,28,3,25,15,33,1525.59,11.65,1513.9399999999998
115,22,2,8,16,45,39278.25,188.1,39090.15
116,15,1,3,15,93,64485.27,167.95,64317.32
78,31,2,24,2,27,6178.139999999999,17.54,6160.599999999999
7,22,1,15,17,87,75937.95,228.53,75709.42
117,43,2,10,15,13,3491.9300000000003,46.02,3445.9100000000003
118,11,1,15,8,48,44654.4,11.34,44643.06
109,28,2,18,2,64,2958.72,3.62,2955.1
119,11,1,15,17,97,90239.1,59.84,90179.26
120,9,1,18,4,48,20788.800000000003,104.37,20684.430000000004
121,23,1,12,8,50,49756.5,65.18,49691.32
730,5,3,12,8,96,63364.8,159.62,63205.17999999999
122,7,1,10,16,23,1564.23,20.04,1544.19
14,30,3,7,2,46,19863.72,91.12,19772.6
123,13,3,3,2,42,35592.06,176.99,35415.07
124,17,2,24,17,58,48731.02,86.96,48644.060000000005
730,17,2,7,2,57,47890.83,0.85,47889.98
125,31,1,5,17,96,21966.72,30.39,21936.33
30,14,2,9,2,81,37348.29,114.7,37233.59
126,11,3,17,17,67,62330.1,263.1,62067.0
127,4,1,14,2,32,11648.32,17.98,11630.34
128,5,3,5,17,85,56104.24999999999,6.12,56098.12999999999
129,24,3,21,2,59,37884.49,143.95,37740.54
123,21,3,14,8,92,24712.120000000003,44.23,24667.890000000003
110,1,3,10,2,6,3914.1,174.31,3739.79
130,13,3,3,15,74,62709.82,228.11,62481.71
131,21,1,7,2,76,48800.36,181.03,48619.33
132,4,1,1,16,62,22568.62,88.97,22479.65
730,22,1,9,16,60,52371.0,67.88,52303.12
35,7,2,8,4,21,1428.21,7.75,1420.46
133,7,2,9,17,92,6256.92,7.01,6249.91
134,31,1,24,2,7,1601.74,4.22,1597.52
135,14,3,7,17,57,26282.13,75.09,26207.04
34,15,1,18,16,5,3466.95,10.52,3456.43
136,16,1,14,2,58,37764.38,170.06,37594.32
137,24,3,10,4,27,17336.97,151.22,17185.75
138,15,1,14,2,16,11094.24,191.27,10902.97
139,23,1,3,15,97,96527.61,260.46,96267.15
140,4,2,23,17,42,15288.42,81.35,15207.07
141,5,3,8,15,57,37622.85,105.11,37517.74
142,28,1,3,4,70,3236.1,4.05,3232.05
63,4,1,9,15,50,18200.5,36.27,18164.23
143,31,3,25,4,63,14415.66,50.54,14365.12
144,17,2,6,4,41,34447.79,129.28,34318.51
145,30,2,12,15,68,29363.76,114.3,29249.46
146,9,1,21,2,69,29883.9,4.96,29878.94
26,22,2,11,8,89,77683.65000000001,54.29,77629.36000000002
730,21,3,8,2,98,63808.78,163.79,63644.99
147,17,3,14,16,25,21004.75,190.03,20814.72
148,7,2,19,8,4,272.04,0.06,271.98
730,5,2,11,8,71,46863.55,56.82,46806.73
730,13,1,17,17,25,21185.75,240.12,20945.63
149,30,3,23,8,82,35409.24,14.98,35394.259999999995
150,22,2,9,17,55,48006.75,67.43,47939.32
151,14,1,19,4,42,19365.78,60.64,19305.14
152,11,2,10,2,16,14884.8,108.56,14776.24
153,15,1,1,16,37,25655.43,142.09,25513.34
154,4,1,6,15,39,14196.39,92.25,14104.14
155,16,2,19,4,81,52739.91,123.3,52616.61
156,3,1,10,8,25,9664.25,67.35,9596.9
157,16,1,10,16,30,19533.3,66.15,19467.15
158,22,2,21,16,19,16584.15,167.77,16416.38
159,23,1,7,2,15,14926.95,241.66,14685.29
160,14,3,25,17,12,5533.08,59.21,5473.87
161,24,3,7,2,88,56505.68,185.41,56320.27
98,9,1,21,2,45,19489.5,11.56,19477.94
18,22,1,23,2,53,46261.05,51.44,46209.61
730,16,1,15,15,85,55344.35,169.45,55174.9
74,21,1,8,4,62,26772.84,12.3,26760.54
162,31,2,17,16,57,13042.74,50.21,12992.53
163,43,1,6,16,79,21220.19,37.92,21182.270000000004
137,3,1,12,8,94,36337.58,103.49,36234.09
164,22,1,11,2,33,28804.05,202.58,28601.47
165,9,2,3,16,50,21655.0,100.91,21554.09
166,1,1,14,16,100,65235.0,109.86,65125.14
167,22,1,5,8,29,25312.65,157.99,25154.66
168,1,1,3,2,99,64582.65,117.01,64465.64
169,7,3,12,2,80,5440.8,13.39,5427.41
170,5,2,10,4,61,40263.05,25.45,40237.6
139,24,1,5,17,71,45589.81,80.45,45509.36
171,4,2,12,8,76,27664.76,98.42,27566.34
60,21,3,24,2,14,3760.54,62.41,3698.13
730,5,1,25,16,88,58084.4,50.63,58033.77
172,30,2,3,8,39,16840.98,93.42,16747.56
106,21,3,21,8,25,6715.25,46.98,6668.27
173,13,1,9,16,28,23728.04,70.78,23657.26
28,22,2,23,17,53,46261.05,4.94,46256.11
730,15,2,6,17,20,13867.8,129.32,13738.48
174,43,3,17,15,11,2954.71,41.5,2913.21
75,17,2,1,17,12,10082.28,75.56,10006.72
175,22,1,8,8,81,70700.85,212.09,70488.76000000001
176,13,3,18,8,28,23728.04,122.03,23606.01
730,21,2,7,15,38,24742.18,29.41,24712.77
161,31,1,8,8,81,18534.42,48.53,18485.89
174,28,3,12,4,35,1618.05,7.6,1610.45
177,24,1,6,17,65,41737.15,105.74,41631.41
51,1,3,23,16,54,35226.9,26.56,35200.340000000004
178,15,1,12,8,15,10400.85,97.92,10302.93
179,17,1,21,8,96,80658.24,191.04,80467.20000000001
160,3,2,6,8,33,12756.81,48.52,12708.29
172,3,1,7,17,94,36337.58,58.07,36279.51
29,14,2,17,8,75,34581.75,48.75,34533.0
730,31,2,1,16,49,11212.18,12.41,11199.77
180,9,1,23,8,14,6063.400000000001,19.83,6043.570000000001
181,15,2,12,17,37,25655.43,207.85,25447.58
182,31,1,5,8,88,20136.16,43.78,20092.38
133,21,2,25,2,33,21527.55,96.19,21431.36
183,3,2,23,17,68,26286.76,68.83,26217.93
184,9,3,21,2,100,43310.0,18.8,43291.2
730,30,1,24,8,81,34977.42,51.01,34926.41
185,3,3,14,15,3,1159.71,31.97,1127.74
186,7,3,17,15,90,6120.900000000001,8.08,6112.820000000001
187,13,3,21,16,85,72031.55,89.39,71942.16
188,23,1,23,4,39,38810.07,264.79,38545.28
189,21,3,24,4,75,20145.75,61.96,20083.79
190,3,2,17,15,94,36337.58,9.72,36327.86
115,31,3,10,15,33,7551.059999999999,24.35,7526.709999999999
174,23,2,21,17,60,59707.8,25.88,59681.920000000006
191,24,2,18,8,5,3210.55,146.41,3064.1400000000003
189,31,2,17,15,18,4118.76,41.78,4076.98
56,4,1,23,15,82,29848.82,10.92,29837.9
192,31,3,7,4,75,17161.5,5.7,17155.8
193,4,3,24,16,83,30212.83,35.24,30177.59
194,15,1,9,16,53,36749.67,138.23,36611.44
182,14,1,3,2,55,25359.95,8.03,25351.92
195,9,3,9,17,17,7362.700000000001,17.25,7345.450000000001
196,21,2,12,15,97,42010.7,58.99,41951.71000000001
730,13,1,11,2,3,2542.29,51.53,2490.76
197,13,3,12,8,6,5084.58,134.3,4950.28
730,17,3,11,16,75,63014.25000000001,125.01,62889.240000000005
154,30,3,3,16,69,29795.58,31.51,29764.07
198,21,2,3,8,62,42990.18,95.97,42894.21
730,36,2,23,4,28,26642.84,38.9,26603.94
199,36,2,17,2,94,89443.81999999999,107.03,89336.79
200,31,2,11,16,31,7093.42,25.68,7067.74
131,22,2,24,17,35,30549.75,60.92,30488.83
201,4,2,1,4,8,2912.08,102.57,2809.51
202,24,2,4,17,78,50084.58,128.33,49956.25
203,3,1,11,17,81,31312.17,2.4,31309.77
113,1,1,8,8,25,16308.75,157.45,16151.3
204,31,2,3,17,92,21051.44,52.36,20999.08
205,4,1,19,4,29,10556.29,6.81,10549.48
206,1,3,24,17,56,36531.6,114.92,36416.68
207,21,1,5,16,21,20897.73,102.95,20794.78
208,43,2,17,4,67,17996.870000000003,8.07,17988.800000000003
209,24,1,8,2,2,1284.22,190.4,1093.82
730,3,3,25,4,20,7731.4,69.73,7661.67
210,15,3,18,15,8,5547.12,137.02,5410.099999999999
70,3,3,17,4,28,10823.96,81.24,10742.72
211,11,1,1,17,82,76284.59999999999,189.6,76094.99999999999
134,31,1,12,16,27,6178.139999999999,53.14,6124.999999999999
212,5,2,7,17,7,4620.349999999999,154.16,4466.19
213,11,3,4,15,94,87448.2,183.48,87264.72
65,16,2,6,17,82,53391.02,160.17,53230.850000000006
159,11,3,18,15,96,89308.79999999999,159.42,89149.37999999999
109,31,3,17,2,21,4805.22,65.96,4739.26
214,5,2,3,16,16,10560.8,51.46,10509.34
215,24,1,7,15,73,46874.03,147.07,46726.96
216,43,3,10,15,1,268.61,27.42,241.19
217,31,2,19,16,39,8923.98,67.54,8856.439999999999
218,4,3,9,16,20,7280.2,107.33,7172.87
219,22,2,18,15,44,38405.4,165.66,38239.74
220,24,2,11,16,74,47516.14,137.03,47379.11
221,28,3,24,2,99,4576.77,0.85,4575.919999999999
195,3,1,15,15,73,28219.61,16.49,28203.12
222,15,2,7,2,24,16641.36,190.47,16450.89
86,15,2,7,16,52,36056.28,44.89,36011.39
223,43,1,6,16,100,26861.0,10.37,26850.63
123,5,1,10,4,80,52804.0,6.66,52797.34
18,14,1,1,15,85,39192.65,112.87,39079.78
224,21,3,11,4,99,92099.7,183.63,91916.07
225,24,3,14,15,68,43663.48,16.14,43647.34
226,16,1,15,17,95,61855.45,26.91,61828.54
227,3,1,11,17,91,35177.87,105.3,35072.57
228,5,3,11,8,75,49503.75,109.79,49393.96
229,3,2,4,4,66,25513.62,50.93,25462.69
230,28,1,15,16,81,3744.63,4.82,3739.81
231,17,1,15,15,14,11762.66,41.15,11721.51
14,5,1,15,2,43,28382.15,89.04,28293.11
730,24,1,5,15,79,50726.69,158.18,50568.51
232,21,3,10,8,90,41498.1,126.98,41371.12
233,11,3,17,4,78,72563.4,113.37,72450.03
234,9,2,11,16,89,38545.9,102.45,38443.45
235,23,2,10,8,99,98517.87,218.15,98299.72
80,21,1,9,17,80,5440.8,17.79,5423.01
236,4,1,14,16,57,20748.57,102.09,20646.48
32,30,2,7,16,75,32386.5,19.13,32367.37
730,28,2,11,17,15,693.4499999999999,4.12,689.3299999999999
237,24,2,19,16,91,58432.01,133.1,58298.91
170,17,3,1,4,1,840.19,161.52,678.6700000000001
238,28,2,14,2,74,3421.02,9.71,3411.31
239,15,3,12,15,9,6240.51,5.51,6235.0
240,11,3,21,15,69,64190.7,102.06,64088.64
87,11,2,24,15,72,66981.59999999999,12.41,66969.18999999999
241,30,1,12,17,44,19000.08,97.74,18902.34
242,4,3,19,2,60,21840.6,82.72,21757.88
243,1,2,6,17,42,27398.7,151.38,27247.32
210,15,3,12,17,69,47843.91,48.92,47794.99
133,1,1,17,4,43,28051.05,2.71,28048.34
730,1,3,23,2,45,29355.75,38.01,29317.74
218,21,2,5,4,4,3721.2,169.24,3551.96
244,21,3,14,15,35,8008.7,29.75,7978.95
245,3,1,14,2,13,5025.41,11.46,5013.95
246,16,2,6,15,94,61204.34,189.37,61014.97
247,7,2,14,17,100,6801.000000000001,6.14,6794.860000000001
248,13,3,4,2,42,35592.06,26.1,35565.96
730,13,3,1,15,61,51693.23,193.87,51499.35999999999
111,3,3,25,8,31,11983.67,83.1,11900.57
206,4,2,25,4,45,16380.45,75.01,16305.44
249,3,2,8,4,92,35564.44,18.8,35545.64
250,11,2,21,16,40,37212.0,278.43,36933.57
251,3,1,15,17,97,37497.29,20.96,37476.33
252,21,2,3,8,50,33002.5,93.72,32908.78
253,31,2,11,4,10,2288.2,18.98,2269.22
38,15,1,1,16,92,63791.88,29.91,63761.97
254,43,3,8,16,56,15042.16,56.66,14985.5
255,1,3,8,17,50,32617.5,13.41,32604.09
256,7,3,4,15,78,5304.780000000001,16.55,5288.2300000000005
257,28,3,18,15,73,3374.79,0.3,3374.49
258,7,2,11,16,28,1904.28,16.75,1887.53
259,3,2,6,2,10,3865.7,37.0,3828.7
260,7,2,25,8,89,6052.89,17.51,6035.38
125,21,3,7,15,58,53957.4,236.27,53721.13
261,21,2,18,16,95,36724.15,20.3,36703.85
53,23,2,8,15,61,60702.93,223.97,60478.96
262,24,3,23,8,69,44305.59,119.89,44185.7
167,21,3,10,2,57,13042.74,58.56,12984.18
263,22,2,21,15,55,48006.75,56.48,47950.27
62,1,1,4,15,72,46969.2,168.5,46800.7
165,15,2,18,2,14,9707.46,171.48,9535.98
264,15,1,15,16,65,45070.35,79.68,44990.67
235,15,2,18,4,79,54777.81,139.47,54638.34
265,28,1,24,4,91,4206.929999999999,7.83,4199.099999999999
730,16,3,5,17,42,27346.62,170.38,27176.24
226,17,3,25,15,39,32767.410000000003,240.7,32526.710000000003
266,14,1,1,16,57,26282.13,62.12,26220.01
267,43,2,15,2,19,5103.59,57.31,5046.28
268,13,2,1,16,4,3389.72,163.29,3226.43
269,28,2,15,16,36,1664.28,6.57,1657.71
151,5,3,25,17,10,6600.5,117.59,6482.91
270,15,3,10,8,4,2773.56,57.06,2716.5
271,4,2,15,2,26,9464.26,58.17,9406.09
272,9,1,10,8,60,25986.0,77.4,25908.6
273,30,1,21,8,56,24181.92,22.22,24159.7
274,24,3,19,4,1,642.11,95.52,546.59
275,36,2,7,16,31,29497.43,129.01,29368.42
276,43,1,8,16,63,16922.43,35.58,16886.85
134,22,3,5,8,52,45388.2,188.88,45199.32000000001
277,13,2,3,17,91,77116.12999999999,12.89,77103.23999999999
730,11,1,6,16,61,56748.3,32.72,56715.58
175,7,3,5,15,87,5916.870000000001,18.13,5898.740000000001
278,22,3,7,16,100,87285.0,248.39,87036.61
98,3,1,1,4,57,22034.49,4.83,22029.66
730,30,1,23,4,5,2159.1,42.28,2116.82
279,7,1,14,17,28,1904.28,10.81,1893.4700000000005
259,36,2,11,15,57,54237.21,237.19,54000.02
280,9,2,11,2,100,43310.0,89.34,43220.66
167,3,3,1,4,15,5798.55,114.94,5683.610000000001
97,14,1,18,4,53,24437.77,93.32,24344.45
166,23,3,10,2,92,91551.96,198.23,91353.73
730,1,1,15,2,80,52188.0,97.43,52090.57
730,15,1,17,16,42,29122.38,50.93,29071.45
281,22,1,19,4,32,27931.2,150.61,27780.59
211,43,3,14,17,79,21220.19,48.14,21172.050000000003
730,11,3,12,2,76,70702.8,250.2,70452.6
730,7,3,11,8,29,1972.29,15.65,1956.64
282,28,2,24,4,19,878.3699999999999,5.24,873.1299999999999
283,3,1,19,17,74,28606.18,18.18,28588.0
63,24,2,1,17,97,62284.67,147.23,62137.44
284,36,1,10,16,74,70413.22,177.89,70235.33
285,14,1,17,4,52,23976.68,81.03,23895.65
65,21,2,1,15,63,4284.63,14.08,4270.55
286,13,2,8,17,50,42371.5,66.24,42305.26
287,1,3,18,8,78,50883.3,189.53,50693.77
288,5,1,19,17,16,10560.8,5.23,10555.57
289,4,2,19,16,61,22204.61,3.38,22201.23
290,24,2,8,4,86,55221.46,40.79,55180.67
291,31,3,17,2,14,3203.48,28.76,3174.72
292,13,3,14,2,100,84743.0,30.53,84712.47
293,24,3,4,2,81,52010.91,68.58,51942.33
294,30,3,15,15,85,36704.7,107.86,36596.84
19,13,1,6,15,98,83048.14,88.05,82960.09
295,15,3,24,15,18,12481.02,167.41,12313.61
296,15,2,3,2,91,63098.49,146.49,62952.0
730,30,3,1,8,34,14681.88,94.46,14587.42
297,15,1,18,4,32,22188.48,18.86,22169.62
220,28,2,11,16,16,739.68,4.18,735.5
298,21,3,1,4,95,79818.05,115.26,79702.79000000001
299,36,2,17,15,89,84686.17,233.05,84453.12
220,11,2,12,4,10,9303.0,81.61,9221.39
84,21,1,4,8,16,7377.44,66.24,7311.2
300,4,3,23,4,42,15288.42,33.64,15254.78
301,5,2,11,2,61,40263.05,62.52,40200.53
272,11,3,7,4,56,52096.8,93.03,52003.77
274,9,3,12,2,28,12126.8,38.85,12087.95
302,23,1,3,8,40,39805.2,286.96,39518.24
250,5,2,9,8,78,51483.9,125.39,51358.51
303,11,1,18,2,23,21396.9,50.87,21346.03
304,21,3,6,15,100,22882.0,56.94,22825.06
166,22,2,3,17,25,21821.25,202.72,21618.53
106,21,2,11,8,18,8299.619999999999,76.93,8222.689999999999
305,21,2,14,8,65,3004.95,0.68,3004.27
306,23,2,5,4,16,15922.08,86.59,15835.49
307,7,2,7,2,58,3944.58,11.89,3932.690000000001
192,24,3,5,2,9,5778.99,164.83,5614.16
308,43,2,19,15,10,2686.1000000000004,20.44,2665.6600000000003
730,22,3,10,4,71,61972.35,107.5,61864.85
309,23,3,5,15,46,45775.98,10.17,45765.810000000005
730,23,2,17,2,87,86576.31,107.77,86468.54
730,24,1,21,15,2,1284.22,63.76,1220.46
310,5,1,23,2,30,19801.5,87.62,19713.88
311,23,2,9,2,52,51746.76,0.42,51746.34
312,21,3,5,17,68,44275.48,147.06,44128.420000000006
313,3,2,18,17,2,773.14,72.87,700.27
280,15,3,1,17,25,17334.75,72.36,17262.39
730,1,1,21,17,16,10437.6,82.47,10355.13
314,16,1,24,17,78,50786.58,21.37,50765.21
730,23,2,1,17,49,48761.37,24.16,48737.21
315,28,1,23,2,83,3837.09,12.11,3824.98
312,28,1,5,15,64,2958.72,6.44,2952.28
316,23,2,10,8,41,40800.33,225.07,40575.26
317,4,3,8,15,53,19292.53,18.58,19273.95
48,23,3,17,15,1,995.13,69.62,925.51
318,4,3,15,15,16,5824.16,82.0,5742.16
319,43,3,12,2,13,3491.9300000000003,50.32,3441.61
320,17,3,5,2,67,56292.73,109.27,56183.46000000001
321,15,2,5,17,16,11094.24,125.85,10968.39
322,5,3,5,17,38,25081.9,165.2,24916.7
134,14,1,21,4,43,19826.87,104.48,19722.39
22,14,1,8,16,1,461.09,61.25,399.84
265,31,2,9,4,96,21966.72,54.69,21912.03
9,14,2,21,2,48,22132.32,133.94,21998.38
140,17,2,11,2,18,15123.420000000002,112.3,15011.120000000004
323,4,2,11,2,14,5096.139999999999,39.99,5056.15
21,22,2,9,8,65,56735.25,63.42,56671.83
144,24,2,4,4,51,32747.61,179.81,32567.8
324,15,3,25,2,15,10400.85,46.32,10354.53
4,24,1,18,8,23,14768.53,153.49,14615.04
233,1,1,5,8,74,48273.9,172.18,48101.72
325,5,3,4,15,49,32342.45,88.49,32253.959999999995
326,22,2,14,15,46,40151.1,70.18,40080.92
327,3,3,23,4,69,26673.33,12.87,26660.46
149,21,2,12,4,37,34421.1,7.28,34413.82
299,36,2,8,4,31,29497.43,251.42,29246.01
328,7,1,11,8,67,4556.67,19.71,4536.96
72,23,3,23,4,79,78615.27,293.84,78321.43000000001
127,3,1,3,2,99,38270.43,25.88,38244.55
329,13,1,7,17,63,53388.09,240.82,53147.27
330,28,2,12,2,75,3467.2499999999995,2.85,3464.4
258,31,1,19,4,62,14186.84,47.08,14139.76
30,21,1,3,17,91,58432.01,61.29,58370.72
17,28,3,14,17,76,3513.48,1.49,3511.99
251,1,2,9,4,84,54797.4,138.84,54658.560000000005
281,22,3,10,2,93,81175.05,69.5,81105.55
331,5,1,5,4,69,45543.45,94.79,45448.66
332,7,3,3,17,39,2652.3900000000003,2.83,2649.5600000000004
101,16,3,3,2,92,59902.12,181.0,59721.12
144,28,3,18,2,93,4299.389999999999,1.75,4297.639999999999
730,22,3,8,8,16,13965.6,108.25,13857.35
333,7,3,7,16,81,5508.81,14.31,5494.5
213,43,3,5,15,25,6715.25,4.38,6710.87
334,1,2,14,16,63,41098.05,185.75,40912.3
122,43,2,6,17,71,19071.31,14.34,19056.97
332,30,3,9,15,93,40159.26,34.06,40125.2
335,30,3,18,16,46,19863.72,20.82,19842.9
89,24,2,9,17,1,642.11,72.66,569.45
32,31,1,23,4,40,9152.8,58.15,9094.65
730,30,1,17,16,7,3022.74,34.82,2987.92
127,31,1,24,15,41,9381.62,28.59,9353.03
286,3,3,14,8,56,21647.92,42.12,21605.8
336,17,1,19,15,44,36968.36,39.19,36929.17
325,43,3,5,8,68,18265.48,5.24,18260.24
337,28,1,10,17,63,2912.49,9.29,2903.2
314,13,3,6,17,33,27965.19,36.35,27928.84
141,21,2,4,17,85,36704.7,12.4,36692.3
338,15,1,17,8,43,29815.77,45.96,29769.81
285,43,3,19,15,64,17191.04,47.72,17143.32
339,43,3,9,17,50,13430.5,0.75,13429.75
65,15,2,12,2,56,38829.84,199.15,38630.69
340,28,2,15,2,59,2727.57,11.11,2716.46
341,11,2,7,8,21,19536.3,105.56,19430.74
261,7,2,25,8,62,4216.62,14.49,4202.13
